"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"The Voyages of Marco Polo",2015,2,4,40,100,12,1,1062,2541,57317,348,7,361,60,2,13,15,371,2,"Dice","Complex"
"Robinson Crusoe  Adventures on the Cursed Island",2012,1,4,60,120,14,4,1391,5020,73330,498,13,313,52,1,12,8,340,3,"Adventure","Complex"
"Android  Netrunner",2012,2,2,45,45,14,4,547,5225,298264,327,1,911,577,2,9,9,405,0,"Bluffing","Complex"
"Anachrony Essential Edition",2017,1,4,30,120,15,1,868,1713,17958,128,2,172,33,3,6,7,353,3,"Economic","Complex"
"7 Wonders",2010,2,7,30,30,10,1,1012,12608,377363,1637,23,1023,94,1,14,50,255,5,"Card Game","Simple"
"Race for the Galaxy",2007,2,4,30,60,12,2,1029,9072,462068,1123,19,726,79,1,16,16,236,2,"Card Game","Complex"
"Keyflower",2012,2,6,90,120,12,1,1195,3085,42194,148,8,315,27,2,11,10,285,4,"Economic","Complex"
"Dominant Species",2010,2,6,120,240,14,3,1234,3746,27817,106,2,173,33,1,6,9,435,4,"Animals","Complex"
"Fields of Arle",2014,1,2,60,120,13,2,978,1322,18836,154,5,326,39,1,9,6,458,1,"Economic","Complex"
"Caylus Premium Limited Edition",2005,2,5,60,150,12,1,952,5955,58773,92,5,185,24,1,14,17,322,3,"Economic","Complex"
"Lords of Waterdeep",2012,2,5,60,120,12,3,1139,7099,128486,520,7,414,84,2,1,10,201,3,"Fantasy","Simple"
"Five Tribes  The Djinns of Naqala",2014,2,4,40,80,13,1,1246,4345,75835,484,11,394,64,1,6,14,227,2,"Animals","Complex"
"The Gallerist",2015,1,4,60,150,13,1,1087,1480,17809,107,2,208,53,1,4,8,153,3,"Economic","Complex"
"Clank!  A Deck-Building Adventure",2016,2,4,30,60,12,3,1142,3040,70614,893,8,272,70,1,11,9,319,2,"Adventure","Simple"
"Twilight Imperium (Third Edition)",2005,3,6,180,240,14,4,705,4226,24243,24,2,139,47,1,1,2,267,3,"Science Fiction","Complex"
"El Grande",1995,2,5,60,120,12,3,1255,5040,38627,84,5,171,25,2,7,4,325,3,"Medieval","Complex"
"Rising Sun",2018,3,5,90,120,14,2,641,2314,21268,158,2,139,55,1,11,9,123,2,"Bluffing","Complex"
"Eldritch Horror",2013,1,8,120,240,14,4,760,4158,63966,280,1,309,58,2,12,2,552,7,"Adventure","Complex"
"Mombasa",2015,2,4,75,150,12,1,743,1464,19671,83,4,217,52,1,14,16,108,2,"Economic","Complex"
"Dominion  Intrigue",2009,2,4,30,30,13,3,435,3992,96454,96,2,91,6,1,18,8,253,2,"Card Game","Simple"
"Battlestar Galactica  The Board Game",2008,3,6,120,180,14,4,756,6426,71226,122,0,307,94,1,7,12,420,3,"Bluffing","Complex"
"Codenames XXL",2015,2,8,15,15,14,5,331,7856,401668,2418,12,798,136,1,29,27,86,6,"Card Game","Simple"
"Lisboa",2017,1,4,60,120,12,1,711,1095,12216,114,4,145,25,1,5,8,327,3,"Economic","Complex"
"Patchwork",2014,2,2,15,30,8,1,761,5080,166801,1218,6,507,71,1,21,9,435,0,"Abstract Strategy","Simple"
"Troyes",2010,2,4,90,90,12,1,1121,3219,44961,184,5,230,25,3,5,13,121,2,"Dice","Complex"
"Teotihuacan  City of Gods",2018,1,4,90,120,12,1,709,1316,23181,503,8,119,28,1,13,7,188,3,"Other","Complex"
"\u52a0\u62ff\u5927\u68cb",1876,2,4,30,30,8,1,693,2457,114325,762,2,275,26,1,19,0,93,2,"Action / Dexterity","Simple"
"Everdell",2018,1,4,40,80,13,3,1071,1611,24360,1752,2,91,24,1,8,5,277,3,"Animals","Complex"
"Too Many Bones",2017,1,4,60,120,12,3,995,923,14769,268,1,95,16,2,2,2,205,3,"Adventure","Complex"
"Russian Railroads",2013,2,4,90,120,12,1,955,2076,41051,142,6,255,34,2,9,12,481,2,"Other","Complex"
"Roll for the Galaxy",2014,2,5,45,45,13,3,1215,3609,107618,467,12,493,73,2,7,6,76,3,"Dice","Complex"
"Aeon's End",2016,1,4,60,60,14,4,565,1427,32742,550,3,106,24,1,8,4,130,3,"Card Game","Complex"
"Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases",1981,1,8,60,120,13,5,848,2925,25747,166,8,132,49,3,18,6,246,7,"Deduction","Complex"
"Tigris & Euphrates",1997,2,4,90,90,12,1,1205,6286,55014,69,4,219,28,1,16,3,283,2,"Other","Complex"
"Trajan",2011,2,4,60,120,12,1,944,2504,36510,120,9,225,39,1,11,13,308,2,"Other","Complex"
"Architects of the West Kingdom",2018,1,5,60,80,12,2,850,1673,31360,895,6,108,20,2,14,9,181,4,"Medieval","Complex"
"Agricola (Revised Edition)",2016,1,4,30,120,12,4,271,887,13426,222,5,59,3,1,12,0,190,3,"Animals","Complex"
"Dominion",2008,2,4,30,30,13,3,602,12612,627501,1268,19,909,91,1,23,41,289,2,"Card Game","Simple"
"Pandemic",2008,2,4,45,45,8,2,620,14976,306352,1275,24,811,106,1,31,34,249,2,"Other","Simple"
"Underwater Cities",2018,1,4,80,150,12,3,786,897,16403,554,9,88,16,1,11,5,218,3,"Card Game","Complex"
"Raiders of the North Sea",2015,2,4,60,80,12,3,902,1822,34071,434,4,142,36,1,15,5,421,2,"Medieval","Complex"
"Pandemic  Iberia",2016,2,5,45,45,8,2,344,1205,17445,126,4,81,10,2,5,2,179,3,"Other","Complex"
"Star Wars  X-Wing Miniatures Game",2012,2,2,30,45,14,3,300,3677,98332,137,4,276,72,1,14,11,371,0,"Bluffing","Simple"
"Kemet",2012,2,5,90,120,13,1,1362,2470,23776,110,9,142,36,2,10,0,214,3,"Fighting","Complex"
"T.I.M.E Stories",2015,2,4,90,90,12,5,791,3218,49938,216,12,263,135,2,9,11,537,2,"Adventure","Complex"
"Yokohama",2016,2,4,90,90,14,2,573,1357,17794,122,3,186,36,1,8,3,135,2,"Economic","Complex"
"Dead of Winter  A Crossroads Game",2014,2,5,60,120,13,4,885,5107,62866,200,7,336,110,2,13,11,335,3,"Bluffing","Complex"
"Grand Austria Hotel",2015,2,4,60,120,12,1,925,1718,32761,321,3,215,26,2,9,5,253,2,"Economic","Complex"
"Stone Age",2008,2,4,60,90,10,1,1572,7290,148451,422,4,332,41,1,18,26,199,2,"Dice","Simple"
"Forbidden Stars",2015,2,4,120,180,14,4,637,1262,9979,41,2,72,35,3,5,2,464,2,"Bluffing","Complex"
"Champions of Midgard",2015,2,4,60,90,10,2,861,2016,24090,257,1,159,37,1,7,0,144,2,"Adventure","Complex"
"Descent  Journeys in the Dark (Second Edition)",2012,2,5,120,120,14,4,737,3523,58530,194,2,355,34,4,10,1,296,3,"Adventure","Complex"
"Alchemists",2014,2,4,120,120,13,3,598,2505,30080,158,5,126,40,1,13,9,398,2,"Deduction","Complex"
"Lorenzo il Magnifico",2016,2,4,60,120,12,1,634,1098,19563,196,3,106,29,3,11,2,213,2,"Other","Complex"
"Star Realms",2014,2,2,20,20,12,2,310,5147,276472,1704,9,475,72,2,9,11,956,0,"Card Game","Simple"
"Legendary Encounters  An Alien Deck Building Game",2014,1,5,30,60,17,3,591,1826,34672,200,5,132,34,2,1,4,153,4,"Card Game","Complex"
"War of the Ring",2004,2,4,120,120,12,4,415,2913,13174,6,5,74,14,3,12,6,370,2,"Adventure","Complex"
"The Quacks of Quedlinburg",2018,2,4,45,45,10,3,1081,1665,53438,2315,8,130,27,1,10,10,158,2,"Medieval","Simple"
"Istanbul",2014,2,5,40,60,10,1,862,3328,70245,339,9,235,46,1,15,12,335,3,"Economic","Complex"
"Inis",2016,2,4,60,90,14,4,1148,1737,21779,227,9,143,36,1,9,6,449,2,"Card Game","Complex"
"A Game of Thrones  The Board Game (Second Edition)",2011,3,6,120,240,14,2,567,3855,28279,86,2,153,30,1,15,2,622,3,"Bluffing","Complex"
"Castles of Mad King Ludwig",2014,1,4,90,90,13,2,1035,3430,63688,244,8,334,67,1,9,13,270,3,"Other","Complex"
"The Resistance  Avalon",2012,5,10,30,30,13,2,294,3692,107379,484,1,152,25,1,13,3,115,5,"Bluffing","Simple"
"Ticket to Ride  Europe",2005,2,5,30,60,8,1,754,7940,145215,874,2,198,14,1,19,6,208,3,"Other","Simple"
"Clank! In! Space!",2017,2,4,45,90,12,3,667,1046,19079,366,2,89,24,1,4,2,193,2,"Science Fiction","Simple"
"Chaos in the Old World",2009,3,4,60,120,13,4,799,2865,23903,43,1,132,23,1,6,9,222,1,"Fantasy","Complex"
"Decrypto",2018,3,8,15,45,12,5,387,1140,30072,692,5,86,22,1,14,7,304,5,"Deduction","Simple"
"Railways of the World",2005,2,6,120,120,10,3,725,3119,26585,54,5,117,19,2,3,4,328,4,"Other","Complex"
"Chronicles of Crime",2018,1,4,60,90,14,4,491,1491,20643,475,3,103,19,1,14,9,357,3,"Adventure","Simple"
"Ora et Labora",2011,1,4,60,180,13,2,1061,1742,17954,28,3,152,17,1,10,10,331,3,"Economic","Complex"
"Commands and Colors  Ancients",2006,2,2,60,60,12,3,601,2583,35480,45,0,111,21,1,2,6,292,0,"Wargame","Complex"
"Dinosaur Island",2017,1,4,90,120,8,3,801,1775,22326,344,3,152,47,2,7,6,162,3,"Economic","Complex"
"Endeavor  Age of Sail",2018,2,5,60,90,13,2,385,1422,9597,132,2,53,8,2,10,1,106,3,"Other","Complex"
"Suburbia",2012,1,4,90,90,8,3,959,3591,59148,197,13,362,51,1,10,2,192,3,"Economic","Complex"
"The Lord of the Rings  The Card Game",2011,1,2,30,60,13,4,412,3966,182268,638,3,492,49,1,8,7,315,1,"Adventure","Complex"
"Santorini",2016,2,4,20,20,8,1,641,3482,124943,1340,2,233,43,1,4,4,175,2,"Abstract Strategy","Simple"
"Jaipur",2009,2,2,30,30,12,1,927,5402,130300,1023,1,226,37,1,11,8,230,0,"Animals","Simple"
"Hansa Teutonica",2009,2,5,45,90,12,1,789,2345,33377,93,5,146,23,1,4,10,122,3,"Medieval","Complex"
"Nations",2013,1,5,40,200,14,3,691,1994,26953,91,7,159,40,4,5,5,348,4,"Card Game","Complex"
"Age of Steam  Deluxe Edition",2002,1,6,120,120,13,2,451,2542,21585,234,7,124,42,1,9,4,145,5,"Economic","Complex"
"Vinhos Deluxe Edition",2016,1,4,60,135,14,1,549,687,6462,46,1,76,22,1,1,2,287,3,"Economic","Complex"
"Memoir '44",2004,2,8,30,60,8,3,975,6140,111328,218,8,251,35,1,3,6,271,6,"Miniatures","Simple"
"Paths of Glory",1999,2,2,480,480,14,4,323,1560,7026,11,0,51,13,1,5,4,460,0,"Wargame","Complex"
"\u6b61\u8fce\u4f86\u5230",2018,1,100,25,25,10,1,522,1536,65958,1812,4,214,32,1,14,8,191,99,"Other","Simple"
"Codenames  Duet",2017,2,4,15,30,11,5,258,1594,72338,878,7,150,32,2,18,7,284,2,"Card Game","Simple"
"Cosmic Encounter  42nd Anniversary Edition",2008,3,5,60,120,12,4,1183,5301,64091,179,6,230,63,5,7,2,319,2,"Bluffing","Complex"
"Captain Sonar",2016,2,8,45,60,14,1,634,2309,35787,268,9,111,47,2,11,9,280,6,"Deduction","Simple"
"Arcadia Quest",2014,2,4,60,60,13,3,585,1542,21895,55,3,77,45,4,7,1,181,2,"Adventure","Complex"
"Combat Commander  Europe",2006,2,2,60,180,12,4,371,1777,24323,28,0,175,12,1,2,8,294,0,"Wargame","Complex"
"Near and Far",2017,2,4,90,120,13,4,802,1249,18990,178,2,117,39,1,6,6,217,2,"Adventure","Complex"
"Trickerion  Legends of Illusion",2015,2,4,60,180,14,3,505,1210,12852,126,1,171,40,2,5,3,336,2,"Other","Complex"
"Village",2011,2,4,60,90,12,1,696,3049,38191,85,17,187,19,2,21,21,337,2,"Medieval","Complex"
"Targi",2012,2,2,60,60,12,3,811,1886,28600,310,11,114,31,1,13,4,399,0,"Card Game","Simple"
"The Lord of the Rings  Journeys in Middle-earth",2019,1,5,60,120,14,4,509,729,22739,867,1,47,16,2,7,0,178,4,"Adventure","Simple"
"This War of Mine  The Board Game",2017,1,6,45,120,18,5,545,1368,12096,143,1,76,18,2,10,6,500,5,"Adventure","Complex"
"Ticket to Ride  Nordic Countries",2007,2,3,30,60,8,1,728,2067,33641,164,0,64,1,1,8,0,280,1,"Other","Simple"
"Sagrada",2017,1,4,30,45,14,2,910,2858,105595,1450,3,298,55,2,15,9,158,3,"Dice","Simple"
"Xia  Legends of a Drift System",2014,3,5,60,180,12,3,962,1508,13706,122,3,91,45,1,3,6,332,2,"Adventure","Complex"
"Sekigahara  The Unification of Japan",2011,2,2,180,180,14,1,573,1099,7377,26,0,46,14,1,1,6,627,0,"Wargame","Complex"
"That's Pretty Clever",2018,1,4,30,30,8,1,340,1462,123154,2511,7,249,22,1,9,6,62,3,"Dice","Simple"
"\u062c\u0648\u0627\u0647\u0631\u064a",2014,2,4,30,30,10,1,778,7477,320053,2144,11,593,81,1,23,20,213,2,"Card Game","Simple"
"Goa  A New Expedition",2004,2,4,90,90,12,2,841,2981,23683,29,3,95,7,1,9,7,406,2,"Economic","Complex"
"Tichu",1991,4,4,60,60,10,1,271,3224,104072,208,5,241,11,1,13,3,353,0,"Card Game","Simple"
"Detective  A Modern Crime Board Game",2018,1,5,120,180,16,4,393,866,10141,248,7,108,28,3,9,9,254,4,"Deduction","Complex"
"Legendary  A Marvel Deck Building Game",2012,1,5,30,60,14,4,560,3249,121670,603,11,225,52,1,1,2,353,4,"Card Game","Simple"
"La Granja",2014,1,4,90,120,12,3,617,1402,19511,60,8,193,35,2,12,7,158,3,"Economic","Complex"
"Zombicide  Black Plague",2015,1,6,60,180,14,2,468,1729,26545,112,3,129,32,3,9,1,230,5,"Adventure","Complex"
"Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane",1993,2,2,20,20,13,5,202,6586,440565,1754,18,630,118,1,1,10,321,0,"Card Game","Complex"
"Go",2008,2,2,30,180,8,1,136,3514,53824,81,1,178,9,1,69,0,280,0,"Abstract Strategy","Complex"
"The Princes of Florence",2000,2,5,75,100,12,3,535,3803,26698,26,1,124,12,3,13,13,134,3,"Other","Complex"
"Steam",2009,3,5,90,90,10,1,460,2100,18226,27,5,93,9,1,8,6,202,2,"Economic","Complex"
"Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631",2004,2,5,30,60,8,1,674,11655,230862,913,23,707,67,1,14,23,222,3,"Other","Simple"
"Viticulture",2013,2,6,90,90,13,3,528,1502,25115,80,2,340,68,2,2,0,207,4,"Economic","Complex"
"Star Realms  Colony Wars",2015,2,2,20,20,12,2,96,765,16317,102,1,39,2,2,9,1,127,0,"Card Game","Simple"
"Ra",1999,2,5,45,60,12,1,1008,4939,69001,123,4,199,27,1,11,2,227,3,"Other","Simple"
"Cyclades",2009,2,5,60,90,13,1,1106,3066,28328,118,9,109,18,2,12,9,155,3,"Fighting","Complex"
"Carcassonne",2000,2,5,30,45,7,1,509,16961,379638,1536,14,759,90,1,31,12,325,3,"Medieval","Simple"
"Kanban  Driver's Edition",2014,2,4,90,120,12,1,599,1032,12022,73,6,138,48,1,5,6,482,2,"Economic","Complex"
"Shogun",2006,3,5,90,120,12,1,680,2561,16381,30,1,45,23,1,5,10,178,2,"Economic","Complex"
"Galaxy Trucker",2007,2,4,60,60,10,2,1218,5525,72314,166,5,228,49,1,16,10,536,2,"Science Fiction","Simple"
"Coimbra",2018,2,4,60,90,14,2,624,984,16610,226,4,98,23,2,6,5,159,2,"Dice","Complex"
"Rajas of the Ganges",2017,2,4,45,75,12,1,543,1017,23098,302,2,80,12,2,8,5,102,2,"Dice","Complex"
"YINSH",2003,2,2,30,60,9,1,566,1846,24623,65,3,74,9,1,5,7,131,0,"Abstract Strategy","Complex"
"Sushi Go Party!",2016,2,8,20,20,8,2,457,2508,60345,818,3,120,21,1,7,2,69,6,"Card Game","Simple"
"Marvel Champions  The Card Game",2019,1,4,45,90,14,4,375,458,21759,3724,0,44,8,3,2,0,132,3,"Card Game","Complex"
"1830  The Game of Railroads and Robber Barons",1986,2,7,180,360,14,2,408,1481,9335,73,4,104,22,1,5,0,237,5,"Economic","Complex"
"Deception  Murder in Hong Kong",2014,4,12,20,20,14,3,710,2337,68975,563,2,132,44,1,9,0,530,8,"Bluffing","Simple"
"Isle of Skye  From Chieftain to King",2015,2,5,30,50,8,1,729,2645,58732,408,5,369,55,2,16,12,188,3,"Economic","Simple"
"Power Grid Deluxe  Europe\/North America",2014,2,6,120,120,12,1,254,588,5034,23,5,23,4,1,8,0,254,4,"Economic","Complex"
"Lewis & Clark",2013,1,5,120,120,14,1,639,2135,27349,91,6,132,29,1,7,9,221,4,"Other","Complex"
"Imperial Settlers",2014,1,4,45,90,10,3,831,3070,64794,239,14,344,54,2,11,8,157,3,"Card Game","Complex"
"Secret Hitler",2016,5,10,45,45,13,2,483,2349,66580,631,1,104,42,3,4,1,240,5,"Bluffing","Simple"
"Glory to Rome",2005,2,5,60,60,12,4,1173,3357,55035,69,7,293,33,2,7,6,258,3,"Card Game","Complex"
"Imperial",2006,2,6,120,180,13,2,503,2167,15339,24,0,64,10,1,3,8,157,4,"Economic","Complex"
"Hero Realms",2016,2,4,20,30,12,3,203,1543,46680,463,4,81,29,2,8,4,213,2,"Card Game","Simple"
"Dungeon Petz",2011,2,4,90,90,13,1,818,2281,20452,74,2,143,19,1,9,6,174,2,"Animals","Complex"
"Bora Bora",2013,2,4,60,120,12,1,519,1877,19929,56,2,144,34,1,2,4,252,2,"Dice","Complex"
"Aeon's End  War Eternal",2017,1,4,60,60,14,4,245,491,7081,91,1,20,4,1,3,3,125,3,"Card Game","Complex"
"1960  The Making of the President",2007,2,2,90,120,12,4,631,2684,14671,16,0,59,25,2,4,5,445,0,"Other","Complex"
"Age of Empires III  The Age of Discovery",2007,2,5,90,120,10,2,444,2574,20548,28,3,44,8,1,10,9,141,3,"Other","Complex"
"Seasons",2012,2,4,60,60,14,4,773,3093,64324,181,8,276,47,1,9,9,389,2,"Card Game","Complex"
"Space Alert",2008,1,5,30,30,12,3,787,3239,57998,108,0,123,26,1,13,10,189,4,"Science Fiction","Complex"
"Exit  The Game \u2013 The Abandoned Cabin",2016,1,6,60,120,12,5,134,1114,6701,46,3,52,23,2,13,2,102,5,"Deduction","Complex"
"Dead of Winter  The Long Night",2016,2,5,60,120,14,4,358,988,7589,46,3,33,20,2,11,3,142,3,"Bluffing","Complex"
"Dixit  Odyssey",2011,3,12,30,30,8,1,400,1907,28482,227,1,53,4,1,13,7,288,9,"Card Game","Simple"
"Summoner Wars  Master Set",2011,2,4,30,60,9,3,420,1856,28611,35,0,73,24,1,6,3,293,2,"Card Game","Complex"
"Hannibal  Rome vs. Carthage",1996,2,2,40,200,12,4,408,1792,7396,3,1,55,7,1,4,6,230,0,"Wargame","Complex"
"Runewars",2010,2,4,180,240,14,4,430,1528,10605,7,0,37,17,1,7,5,93,2,"Adventure","Complex"
"Flamme Rouge",2016,2,4,30,45,8,1,772,1433,40741,515,4,132,25,1,12,8,165,2,"Other","Simple"
"BattleLore (Second Edition)",2013,2,2,45,90,14,3,365,1120,11092,29,2,68,17,2,6,2,196,0,"Fantasy","Complex"
"Samurai",1998,2,4,30,60,10,1,750,3620,40296,139,1,147,12,1,17,4,185,2,"Abstract Strategy","Simple"
"Navegador",2010,2,5,60,90,12,1,624,1580,16476,37,0,83,15,1,5,6,170,3,"Economic","Complex"
"Fury of Dracula (Third\/Fourth Edition)",2015,2,5,120,180,14,4,629,1804,11963,90,2,86,44,3,11,1,116,3,"Adventure","Complex"
"Alien Frontiers",2010,2,4,90,90,13,3,905,3386,37279,77,6,246,38,1,4,5,353,2,"Dice","Complex"
"Mage Wars Arena",2012,2,2,90,90,13,4,287,1597,14067,16,7,66,12,2,8,4,574,0,"Card Game","Complex"
"Indonesia",2005,2,5,180,240,14,2,772,1187,8150,23,2,40,16,2,1,1,316,3,"Economic","Complex"
"Tyrants of the Underdark",2016,2,4,60,60,14,4,432,699,12778,161,2,59,18,3,4,0,235,2,"Fantasy","Complex"
"Lords of Hellas",2018,1,4,60,90,14,3,392,951,7404,100,0,78,9,1,8,0,201,3,"Science Fiction","Complex"
"Antiquity",2004,2,4,120,180,14,3,748,1190,6792,28,4,30,15,2,1,1,304,2,"Economic","Complex"
"Roll Player",2016,1,4,60,90,10,4,820,1588,32232,381,2,183,46,1,12,1,128,3,"Dice","Simple"
"Battle Line",2000,2,2,30,30,12,2,476,4473,80777,230,2,163,9,1,7,0,192,0,"Card Game","Simple"
"Imperial 2030",2009,2,6,120,180,12,1,491,1055,8491,21,0,32,5,1,8,2,266,4,"Economic","Complex"
"The Quest for El Dorado",2017,2,4,30,60,10,2,630,1377,27033,520,9,136,18,1,4,5,81,2,"Adventure","Simple"
"Rokoko",2013,2,5,60,120,12,1,753,1193,15197,100,3,142,34,3,9,4,237,3,"Economic","Complex"
"Burgle Bros.",2015,1,4,45,90,12,3,860,1458,22044,119,2,115,24,1,4,3,111,3,"Other","Simple"
"\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5",2016,2,4,15,20,8,1,346,3644,159387,1878,7,322,59,1,21,12,140,2,"Fantasy","Simple"
"Mysterium",2015,2,7,42,42,10,1,711,3819,71543,583,5,317,82,2,14,13,603,5,"Deduction","Simple"
"Pulsar 2849",2017,2,4,60,90,14,1,483,769,11581,103,3,95,17,1,9,6,185,2,"Dice","Complex"
"Above and Below",2015,2,4,90,90,13,4,650,2237,24348,101,3,169,50,1,10,7,436,2,"Adventure","Complex"
"The Manhattan Project  Energy Empire",2016,1,5,60,120,13,3,545,839,11935,50,1,72,26,2,3,3,245,4,"Dice","Complex"
